,ICM Time,TickMill Time,TickMill Bid,ICM Ask
0,2022-06-16 20:16:01.732000,2022-06-16 20:16:02.531000,11168.7,11168.1
1,2022-06-16 20:16:13.133000,2022-06-16 20:16:13.431000,11167.6,11167.3
2,2022-06-16 20:16:13.736000,2022-06-16 20:16:14.439000,11170.1,11168.2
3,2022-06-16 20:16:49.040000,2022-06-16 20:16:49.333000,11165.0,11163.8
4,2022-06-16 20:16:58.533000,2022-06-16 20:16:59.033000,11165.3,11165.1
5,2022-06-16 20:17:01.638000,2022-06-16 20:17:01.935000,11166.1,11165.5
6,2022-06-16 20:17:02.428000,2022-06-16 20:17:02.836000,11168.5,11167.3
7,2022-06-16 20:17:30.637000,2022-06-16 20:17:30.430000,11170.1,11169.0
8,2022-06-16 20:17:33.638000,2022-06-16 20:17:34.235000,11171.7,11171.6
9,2022-06-16 20:18:03.232000,2022-06-16 20:18:03.438000,11174.6,11172.8
10,2022-06-16 20:18:24.238000,2022-06-16 20:18:24.739000,11177.8,11176.0
11,2022-06-16 20:18:28.233000,2022-06-16 20:18:28.440000,11180.2,11179.3
12,2022-06-16 20:18:56.633000,2022-06-16 20:18:57.532000,11174.5,11174.3
13,2022-06-16 20:19:01.530000,2022-06-16 20:19:01.733000,11171.6,11171.5
14,2022-06-16 20:19:07.433000,2022-06-16 20:19:07.638000,11171.8,11171.5
15,2022-06-16 20:19:19.524000,2022-06-16 20:19:19.735000,11168.7,11166.8
16,2022-06-16 20:19:28.731000,2022-06-16 20:19:29.034000,11165.6,11165.3
17,2022-06-16 20:19:39.231000,2022-06-16 20:19:40.334000,11165.6,11164.8
18,2022-06-16 20:19:51.731000,2022-06-16 20:19:51.731000,11161.0,11162.0
19,2022-06-16 20:20:18.335000,2022-06-16 20:20:18.738000,11157.3,11157.1
20,2022-06-16 20:20:39.136000,2022-06-16 20:20:39.632000,11154.1,11153.1
21,2022-06-16 20:20:50.637000,2022-06-16 20:20:50.935000,11153.7,11153.6
22,2022-06-16 20:21:36.031000,2022-06-16 20:21:36.435000,11148.3,11147.1
23,2022-06-16 20:21:42.929000,2022-06-16 20:21:43.229000,11150.8,11150.0
24,2022-06-16 20:21:53.832000,2022-06-16 20:21:54.134000,11145.7,11144.5
25,2022-06-16 20:22:20.231000,2022-06-16 20:22:20.835000,11152.3,11152.0
26,2022-06-16 20:22:28.332000,2022-06-16 20:22:28.635000,11150.8,11149.3
27,2022-06-16 20:22:40.431000,2022-06-16 20:22:41.426000,11150.8,11149.3
28,2022-06-16 20:22:55.730000,2022-06-16 20:22:55.936000,11147.3,11147.1
29,2022-06-16 20:23:04.432000,2022-06-16 20:23:05.236000,11146.5,11144.8
30,2022-06-16 20:23:05.535000,2022-06-16 20:23:05.937000,11148.2,11147.2
31,2022-06-16 20:23:08.635000,2022-06-16 20:23:08.933000,11148.6,11148.1
32,2022-06-16 20:23:08.635000,2022-06-16 20:23:08.933000,11148.6,11148.1
33,2022-06-16 20:23:21.732000,2022-06-16 20:23:22.333000,11147.8,11147.7
34,2022-06-16 20:23:37.334000,2022-06-16 20:23:37.834000,11147.7,11147.6
35,2022-06-16 20:24:08.132000,2022-06-16 20:24:08.330000,11140.2,11139.3
36,2022-06-16 20:24:31.032000,2022-06-16 20:24:31.230000,11141.8,11141.2
37,2022-06-16 20:24:34.231000,2022-06-16 20:24:34.532000,11143.2,11142.3
38,2022-06-16 20:24:45.136000,2022-06-16 20:24:45.632000,11140.3,11140.2
39,2022-06-16 20:24:59.330000,2022-06-16 20:24:59.632000,11140.5,11140.2
40,2022-06-16 20:25:06.537000,2022-06-16 20:25:06.835000,11139.8,11138.5
41,2022-06-16 20:25:23.234000,2022-06-16 20:25:23.436000,11142.0,11141.9
42,2022-06-16 20:25:43.133000,2022-06-16 20:25:43.737000,11138.5,11138.4
43,2022-06-16 20:25:53.632000,2022-06-16 20:25:53.936000,11138.0,11137.5
44,2022-06-16 20:25:57.132000,2022-06-16 20:25:57.340000,11137.7,11136.8
45,2022-06-16 20:25:57.635000,2022-06-16 20:25:57.843000,11141.7,11139.2
46,2022-06-16 20:26:13.831000,2022-06-16 20:26:14.831000,11145.5,11144.8
47,2022-06-16 20:26:17.933000,2022-06-16 20:26:18.335000,11145.7,11145.5
48,2022-06-16 20:26:47.937000,2022-06-16 20:26:48.134000,11147.8,11147.5
49,2022-06-16 20:26:49.033000,2022-06-16 20:26:49.434000,11148.4,11148.2
50,2022-06-16 20:26:49.434000,2022-06-16 20:26:50.046000,11149.5,11149.4
51,2022-06-16 20:26:59.438000,2022-06-16 20:26:59.935000,11147.7,11147.0
52,2022-06-16 20:27:08.331000,2022-06-16 20:27:08.936000,11148.0,11147.9
53,2022-06-16 20:27:42.527000,2022-06-16 20:27:43.035000,11150.3,11147.8
54,2022-06-16 20:27:45.034000,2022-06-16 20:27:45.034000,11150.8,11150.5
55,2022-06-16 20:27:52.235000,2022-06-16 20:27:52.541000,11160.0,11153.5
56,2022-06-16 20:27:52.840000,2022-06-16 20:27:53.130000,11166.0,11164.8
57,2022-06-16 20:27:53.936000,2022-06-16 20:27:54.231000,11168.5,11167.5
58,2022-06-16 20:27:57.932000,2022-06-16 20:27:58.131000,11165.3,11164.5
59,2022-06-16 20:28:03.435000,2022-06-16 20:28:03.636000,11166.0,11165.8
60,2022-06-16 20:28:07.733000,2022-06-16 20:28:08.035000,11164.5,11162.8
61,2022-06-16 20:28:11.931000,2022-06-16 20:28:12.134000,11166.8,11166.5
62,2022-06-16 20:28:13.633000,2022-06-16 20:28:13.934000,11171.0,11169.4
63,2022-06-16 20:28:14.239000,2022-06-16 20:28:14.239000,11173.8,11174.8
64,2022-06-16 20:28:18.534000,2022-06-16 20:28:18.835000,11179.9,11177.8
65,2022-06-16 20:28:20.131000,2022-06-16 20:28:20.338000,11184.3,11182.0
66,2022-06-16 20:28:22.237000,2022-06-16 20:28:22.536000,11186.7,11186.5
67,2022-06-16 20:28:27.936000,2022-06-16 20:28:28.235000,11190.3,11190.0
68,2022-06-16 20:28:32.737000,2022-06-16 20:28:32.529000,11176.3,11174.5
69,2022-06-16 20:28:36.234000,2022-06-16 20:28:36.731000,11173.5,11173.3
70,2022-06-16 20:28:37.031000,2022-06-16 20:28:37.634000,11173.8,11173.5
71,2022-06-16 20:28:42.534000,2022-06-16 20:28:42.733000,11176.8,11175.4
72,2022-06-16 20:28:44.330000,2022-06-16 20:28:44.533000,11183.2,11181.5
73,2022-06-16 20:28:48.530000,2022-06-16 20:28:48.836000,11190.4,11188.7
74,2022-06-16 20:28:49.837000,2022-06-16 20:28:50.134000,11193.0,11192.3
75,2022-06-16 20:28:54.935000,2022-06-16 20:28:55.234000,11189.5,11187.8
76,2022-06-16 20:28:55.532000,2022-06-16 20:28:55.830000,11190.7,11190.0
77,2022-06-16 20:28:58.531000,2022-06-16 20:28:58.832000,11194.5,11191.2
78,2022-06-16 20:29:00.935000,2022-06-16 20:29:01.435000,11193.8,11193.0
79,2022-06-16 20:29:03.534000,2022-06-16 20:29:03.830000,11191.2,11190.5
80,2022-06-16 20:29:04.836000,2022-06-16 20:29:05.332000,11191.3,11190.8
81,2022-06-16 20:29:07.234000,2022-06-16 20:29:07.531000,11192.0,11191.5
82,2022-06-16 20:29:10.535000,2022-06-16 20:29:10.830000,11195.8,11195.5
83,2022-06-16 20:29:12.230000,2022-06-16 20:29:11.937000,11195.0,11194.2
84,2022-06-16 20:29:12.732000,2022-06-16 20:29:13.235000,11195.2,11193.8
85,2022-06-16 20:29:18.432000,2022-06-16 20:29:19.034000,11198.5,11197.5
86,2022-06-16 20:29:19.532000,2022-06-16 20:29:19.933000,11197.5,11196.8
87,2022-06-16 20:29:21.536000,2022-06-16 20:29:21.734000,11197.7,11197.5
88,2022-06-16 20:29:22.031000,2022-06-16 20:29:22.236000,11197.5,11197.4
89,2022-06-16 20:29:25.533000,2022-06-16 20:29:25.730000,11198.3,11197.3
90,2022-06-16 20:29:44.335000,2022-06-16 20:29:44.840000,11180.8,11180.3
91,2022-06-16 20:29:44.840000,2022-06-16 20:29:45.132000,11183.8,11181.8
92,2022-06-16 20:29:50.831000,2022-06-16 20:29:51.240000,11181.5,11181.0
93,2022-06-16 20:29:55.033000,2022-06-16 20:29:55.931000,11182.4,11182.3
94,2022-06-16 20:30:01.539000,2022-06-16 20:30:01.835000,11183.3,11182.0
95,2022-06-16 20:30:05.737000,2022-06-16 20:30:06.132000,11171.8,11171.0
96,2022-06-16 20:30:10.838000,2022-06-16 20:30:11.132000,11167.8,11167.2
97,2022-06-16 20:30:14.832000,2022-06-16 20:30:15.138000,11170.3,11169.2
98,2022-06-16 20:30:15.734000,2022-06-16 20:30:15.939000,11171.5,11171.3
99,2022-06-16 20:30:20.931000,2022-06-16 20:30:20.728000,11173.0,11172.5
100,2022-06-16 20:30:26.231000,2022-06-16 20:30:26.531000,11171.9,11170.9
101,2022-06-16 20:30:28.129000,2022-06-16 20:30:28.339000,11176.0,11174.0
102,2022-06-16 20:30:32.932000,2022-06-16 20:30:33.132000,11185.3,11184.3
103,2022-06-16 20:30:37.331000,2022-06-16 20:30:37.633000,11185.3,11185.0
104,2022-06-16 20:30:45.533000,2022-06-16 20:30:45.735000,11186.5,11186.2
105,2022-06-16 20:30:46.931000,2022-06-16 20:30:47.431000,11188.0,11187.0
106,2022-06-16 20:30:48.932000,2022-06-16 20:30:49.235000,11190.8,11190.0
107,2022-06-16 20:30:52.332000,2022-06-16 20:30:52.631000,11190.5,11190.2
108,2022-06-16 20:30:54.436000,2022-06-16 20:30:54.939000,11193.3,11192.8
109,2022-06-16 20:31:11.131000,2022-06-16 20:31:11.337000,11190.5,11190.3
110,2022-06-16 20:31:12.236000,2022-06-16 20:31:12.736000,11190.0,11189.8
111,2022-06-16 20:31:22.732000,2022-06-16 20:31:23.231000,11190.5,11188.7
112,2022-06-16 20:31:24.135000,2022-06-16 20:31:23.836000,11190.3,11188.8
113,2022-06-16 20:31:30.541000,2022-06-16 20:31:30.831000,11187.5,11187.0
114,2022-06-16 20:31:41.231000,2022-06-16 20:31:41.529000,11190.5,11190.4
115,2022-06-16 20:31:41.830000,2022-06-16 20:31:42.133000,11192.3,11191.3
116,2022-06-16 20:31:43.031000,2022-06-16 20:31:43.630000,11191.0,11190.5
117,2022-06-16 20:31:47.539000,2022-06-16 20:31:47.836000,11178.8,11178.3
118,2022-06-16 20:31:57.435000,2022-06-16 20:31:57.929000,11173.9,11173.0
119,2022-06-16 20:32:00.636000,2022-06-16 20:32:00.931000,11173.8,11173.3
120,2022-06-16 20:32:02.234000,2022-06-16 20:32:02.433000,11172.0,11171.8
121,2022-06-16 20:32:06.837000,2022-06-16 20:32:07.130000,11158.8,11158.3
122,2022-06-16 20:32:21.930000,2022-06-16 20:32:22.434000,11163.5,11163.2
123,2022-06-16 20:32:23.231000,2022-06-16 20:32:23.434000,11163.7,11163.4
124,2022-06-16 20:32:35.431000,2022-06-16 20:32:35.930000,11161.0,11160.8
125,2022-06-16 20:32:43.432000,2022-06-16 20:32:43.635000,11163.0,11161.8
126,2022-06-16 20:32:44.935000,2022-06-16 20:32:45.241000,11165.0,11164.3
127,2022-06-16 20:32:46.129000,2022-06-16 20:32:46.335000,11167.3,11167.0
128,2022-06-16 20:32:46.735000,2022-06-16 20:32:47.232000,11169.0,11168.5
129,2022-06-16 20:32:50.531000,2022-06-16 20:32:50.834000,11172.0,11171.4
130,2022-06-16 20:32:53.330000,2022-06-16 20:32:53.634000,11171.7,11171.3
131,2022-06-16 20:32:57.429000,2022-06-16 20:32:57.632000,11171.7,11171.4
132,2022-06-16 20:33:00.733000,2022-06-16 20:33:00.938000,11177.3,11177.0
133,2022-06-16 20:33:01.436000,2022-06-16 20:33:01.736000,11178.0,11177.9
134,2022-06-16 20:33:02.033000,2022-06-16 20:33:02.232000,11179.2,11178.8
135,2022-06-16 20:33:05.535000,2022-06-16 20:33:05.737000,11177.3,11176.9
136,2022-06-16 20:33:16.241000,2022-06-16 20:33:16.531000,11181.8,11180.5
137,2022-06-16 20:33:33.730000,2022-06-16 20:33:33.937000,11180.8,11180.3
138,2022-06-16 20:33:48.427000,2022-06-16 20:33:48.834000,11179.2,11178.4
139,2022-06-16 20:34:00.532000,2022-06-16 20:34:00.933000,11179.0,11176.9
140,2022-06-16 20:34:09.035000,2022-06-16 20:34:09.536000,11172.0,11171.8
141,2022-06-16 20:34:24.435000,2022-06-16 20:34:24.636000,11170.4,11169.8
142,2022-06-16 20:34:26.129000,2022-06-16 20:34:26.732000,11171.3,11171.0
