,ICM Time,TickMill Time,TickMill Bid,ICM Ask
0,2022-06-20 09:02:00.755000,2022-06-20 09:02:01.355000,13150.4,13148.9
1,2022-06-20 09:05:18.050000,2022-06-20 09:05:19.655000,13150.9,13148.9
2,2022-06-20 09:05:33.158000,2022-06-20 09:05:33.750000,13146.9,13146.4
3,2022-06-20 09:07:28.953000,2022-06-20 09:07:35.950000,13150.9,13149.4
4,2022-06-20 09:08:14.049000,2022-06-20 09:08:15.754000,13148.9,13148.4
5,2022-06-20 09:08:20.550000,2022-06-20 09:08:21.057000,13149.4,13147.4
6,2022-06-20 09:09:03.355000,2022-06-20 09:09:03.953000,13156.9,13155.9
7,2022-06-20 09:11:28.054000,2022-06-20 09:11:29.250000,13155.4,13154.9
8,2022-06-20 09:12:06.353000,2022-06-20 09:12:06.851000,13152.4,13150.9
9,2022-06-20 09:14:39.153000,2022-06-20 09:14:40.353000,13169.4,13167.9
10,2022-06-20 09:15:14.054000,2022-06-20 09:15:14.359000,13174.4,13172.9
11,2022-06-20 09:15:34.151000,2022-06-20 09:15:40.357000,13180.4,13179.4
12,2022-06-20 09:16:37.752000,2022-06-20 09:16:39.553000,13182.4,13181.9
13,2022-06-20 09:16:44.752000,2022-06-20 09:16:45.756000,13187.4,13183.4
14,2022-06-20 09:17:31.452000,2022-06-20 09:17:32.954000,13183.9,13181.4
15,2022-06-20 09:19:08.453000,2022-06-20 09:19:10.952000,13190.4,13189.4
16,2022-06-20 09:19:25.253000,2022-06-20 09:19:26.255000,13186.9,13186.4
17,2022-06-20 09:21:08.749000,2022-06-20 09:21:09.253000,13193.9,13193.4
18,2022-06-20 09:23:50.940000,2022-06-20 09:23:54.357000,13203.4,13202.4
19,2022-06-20 09:27:02.853000,2022-06-20 09:27:03.549000,13205.9,13203.4
20,2022-06-20 09:27:45.448000,2022-06-20 09:27:47.155000,13207.9,13205.9
21,2022-06-20 09:30:58.754000,2022-06-20 09:31:09.456000,13204.4,13202.4
22,2022-06-20 09:32:08.653000,2022-06-20 09:32:10.760000,13209.4,13208.9
23,2022-06-20 09:32:55.753000,2022-06-20 09:32:59.651000,13208.9,13208.4
24,2022-06-20 09:33:02.450000,2022-06-20 09:33:39.356000,13211.9,13210.4
25,2022-06-20 09:33:39.356000,2022-06-20 09:33:40.353000,13213.4,13212.4
26,2022-06-20 09:33:40.353000,2022-06-20 09:33:41.151000,13215.4,13213.9
27,2022-06-20 09:34:18.551000,2022-06-20 09:34:19.547000,13213.9,13213.4
28,2022-06-20 09:35:07.855000,2022-06-20 09:35:19.556000,13213.9,13210.9
29,2022-06-20 09:37:24.554000,2022-06-20 09:37:28.755000,13205.9,13205.4
30,2022-06-20 09:37:36.052000,2022-06-20 09:37:36.750000,13205.9,13204.9
31,2022-06-20 09:47:24.653000,2022-06-20 09:47:25.354000,13197.4,13194.4
32,2022-06-20 09:47:47.948000,2022-06-20 09:47:49.151000,13203.9,13203.4
33,2022-06-20 09:48:20.648000,2022-06-20 09:48:46.250000,13205.4,13202.9
34,2022-06-20 09:51:38.255000,2022-06-20 09:51:39.650000,13204.9,13204.4
35,2022-06-20 09:52:18.753000,2022-06-20 09:52:23.151000,13207.4,13206.9
36,2022-06-20 09:53:23.753000,2022-06-20 09:53:33.248000,13206.9,13206.4
37,2022-06-20 09:54:21.154000,2022-06-20 09:54:32.650000,13205.9,13202.9
38,2022-06-20 09:54:32.650000,2022-06-20 09:54:35.554000,13206.9,13206.4
39,2022-06-20 09:57:14.554000,2022-06-20 09:57:19.955000,13200.9,13199.9
40,2022-06-20 09:58:17.550000,2022-06-20 09:58:17.957000,13204.4,13203.9
41,2022-06-20 09:58:31.952000,2022-06-20 09:58:33.250000,13207.9,13206.4
42,2022-06-20 09:58:34.649000,2022-06-20 09:58:34.950000,13209.9,13209.4
43,2022-06-20 09:59:03.154000,2022-06-20 09:59:03.553000,13212.4,13210.9
44,2022-06-20 09:59:33.247000,2022-06-20 09:59:37.853000,13209.4,13207.9
45,2022-06-20 09:59:40.254000,2022-06-20 09:59:50.952000,13210.9,13209.9
46,2022-06-20 10:00:01.352000,2022-06-20 10:00:01.653000,13213.4,13212.4
47,2022-06-20 10:00:40.253000,2022-06-20 10:00:41.152000,13211.9,13211.4
48,2022-06-20 10:00:52.645000,2022-06-20 10:00:53.651000,13204.9,13204.4
49,2022-06-20 10:00:55.853000,2022-06-20 10:00:56.056000,13210.4,13205.4
