,FXCM Time,FXCM Bid,FXCM Ask,FxPro Time,FxPro bidopen,FxPro askopen
0,2022-03-28 04:14:58.382000,14696.81,14698.71,2022-03-28 07:14:59.297,14699.24,14700.74
1,2022-03-28 04:21:38.211000,14700.22,14702.12,2022-03-28 07:21:39.033,14702.24,14703.74
2,2022-03-28 04:52:37.952000,14697.31,14699.21,2022-03-28 07:52:38.072,14699.49,14700.99
3,2022-03-28 04:55:02.838000,14700.31,14702.21,2022-03-28 07:55:04.324,14702.24,14703.74
4,2022-03-28 05:01:43.484000,14697.16,14699.06,2022-03-28 08:01:44.337,14699.09,14700.59
5,2022-03-28 05:01:43.484000,14697.16,14699.06,2022-03-28 08:01:46.989,14699.09,14700.59
6,2022-03-28 05:01:47.997000,14695.72,14697.62,2022-03-28 08:01:48.189,14698.34,14699.84
7,2022-03-28 05:01:50.748000,14695.79,14697.69,2022-03-28 08:01:51.023,14698.49,14699.99
8,2022-03-28 05:01:54.774000,14695.81,14697.71,2022-03-28 08:01:54.858,14698.09,14699.59
9,2022-03-28 05:01:56.819000,14696.06,14697.96,2022-03-28 08:01:57.135,14698.34,14699.84
10,2022-03-28 05:01:58.986000,14696.1,14698.0,2022-03-28 08:01:59.008,14698.59,14700.09
11,2022-03-28 05:02:01,14695.56,14697.46,2022-03-28 08:02:01.257,14698.09,14699.59
12,2022-03-28 05:02:03.047000,14695.89,14697.79,2022-03-28 08:02:03.350,14698.34,14699.84
13,2022-03-28 05:02:04.744000,14696.22,14698.12,2022-03-28 08:02:05.142,14698.49,14699.99
14,2022-03-28 05:02:07.474000,14695.47,14697.37,2022-03-28 08:02:07.608,14698.24,14699.74
15,2022-03-28 05:02:09.499000,14695.1,14697.0,2022-03-28 08:02:09.543,14697.74,14699.24
16,2022-03-28 05:02:11.266000,14695.1,14697.0,2022-03-28 08:02:11.800,14698.49,14699.99
17,2022-03-28 05:02:13.842000,14695.6,14697.5,2022-03-28 08:02:13.917,14698.49,14699.99
18,2022-03-28 05:02:13.842000,14695.6,14697.5,2022-03-28 08:02:16.304,14698.49,14699.99
19,2022-03-28 05:02:16.091000,14695.47,14697.37,2022-03-28 08:02:18.365,14698.49,14699.99
20,2022-03-28 05:02:20.426000,14695.56,14697.46,2022-03-28 08:02:20.571,14698.49,14699.99
21,2022-03-28 05:02:21.445000,14695.6,14697.5,2022-03-28 08:02:21.514,14698.49,14699.99
22,2022-03-28 05:02:24.041000,14694.97,14696.87,2022-03-28 08:02:24.855,14697.49,14698.99
23,2022-03-28 05:02:26.913000,14694.62,14696.52,2022-03-28 08:02:26.990,14697.24,14698.74
24,2022-03-28 05:02:27.511000,14694.57,14696.47,2022-03-28 08:02:28.964,14697.49,14698.99
25,2022-03-28 05:02:30.801000,14695.39,14697.29,2022-03-28 08:02:30.865,14697.99,14699.49
26,2022-03-28 05:02:32.635000,14695.1,14697.0,2022-03-28 08:02:33.267,14697.74,14699.24
27,2022-03-28 05:02:34.754000,14695.07,14696.97,2022-03-28 08:02:35.446,14697.99,14699.49
28,2022-03-28 05:02:37.227000,14695.07,14696.97,2022-03-28 08:02:37.250,14697.74,14699.24
29,2022-03-28 05:02:39.437000,14694.97,14696.87,2022-03-28 08:02:39.499,14697.74,14699.24
30,2022-03-28 05:02:41.965000,14694.8,14696.7,2022-03-28 08:02:42.076,14697.74,14699.24
31,2022-03-28 05:02:43.753000,14694.85,14696.75,2022-03-28 08:02:43.812,14697.49,14698.99
32,2022-03-28 05:02:45.497000,14694.85,14696.75,2022-03-28 08:02:46.412,14697.49,14698.99
33,2022-03-28 05:02:47.198000,14694.85,14696.75,2022-03-28 08:02:48.328,14697.49,14698.99
34,2022-03-28 05:02:50.442000,14694.82,14696.72,2022-03-28 08:02:51.010,14697.49,14698.99
35,2022-03-28 05:02:52.774000,14694.44,14696.34,2022-03-28 08:02:52.851,14697.24,14698.74
36,2022-03-28 05:02:54.614000,14694.72,14696.62,2022-03-28 08:02:55.157,14697.49,14698.99
37,2022-03-28 05:02:56.711000,14694.72,14696.62,2022-03-28 08:02:57.269,14697.49,14698.99
38,2022-03-28 05:02:58.049000,14694.92,14696.82,2022-03-28 08:02:59.813,14697.49,14698.99
39,2022-03-28 05:03:01.266000,14694.95,14696.85,2022-03-28 08:03:01.797,14697.49,14698.99
40,2022-03-28 05:03:03.971000,14694.86,14696.76,2022-03-28 08:03:03.997,14697.49,14698.99
41,2022-03-28 05:03:05.152000,14694.66,14696.56,2022-03-28 08:03:05.976,14697.24,14698.74
42,2022-03-28 05:03:07.523000,14693.62,14695.52,2022-03-28 08:03:07.550,14696.49,14697.99
43,2022-03-28 05:03:09.170000,14694.35,14696.25,2022-03-28 08:03:10.258,14697.49,14698.99
44,2022-03-28 05:03:11.700000,14694.85,14696.75,2022-03-28 08:03:11.749,14697.74,14699.24
45,2022-03-28 05:03:13.645000,14694.47,14696.37,2022-03-28 08:03:14.515,14697.24,14698.74
46,2022-03-28 05:03:13.645000,14694.47,14696.37,2022-03-28 08:03:16.174,14697.24,14698.74
47,2022-03-28 05:03:17.423000,14694.31,14696.21,2022-03-28 08:03:18.489,14697.24,14698.74
48,2022-03-28 05:03:19.998000,14694.1,14696.0,2022-03-28 08:03:20.744,14696.99,14698.49
49,2022-03-28 05:03:21.984000,14694.31,14696.21,2022-03-28 08:03:22.297,14697.24,14698.74
50,2022-03-28 05:03:21.984000,14694.31,14696.21,2022-03-28 08:03:24.732,14697.24,14698.74
51,2022-03-28 05:03:21.984000,14694.31,14696.21,2022-03-28 08:03:27.303,14697.24,14698.74
52,2022-03-28 05:03:21.984000,14694.31,14696.21,2022-03-28 08:03:29.665,14697.24,14698.74
53,2022-03-28 05:03:31.466000,14694.56,14696.46,2022-03-28 08:03:31.668,14697.49,14698.99
54,2022-03-28 05:03:33.403000,14694.72,14696.62,2022-03-28 08:03:33.827,14697.49,14698.99
55,2022-03-28 05:03:35.505000,14694.57,14696.47,2022-03-28 08:03:35.843,14697.49,14698.99
56,2022-03-28 05:03:37.367000,14694.79,14696.69,2022-03-28 08:03:37.811,14697.49,14698.99
57,2022-03-28 05:03:39.949000,14695.1,14697.0,2022-03-28 08:03:40.103,14697.99,14699.49
58,2022-03-28 05:03:42.116000,14695.35,14697.25,2022-03-28 08:03:42.172,14697.99,14699.49
59,2022-03-28 05:03:44.138000,14695.06,14696.96,2022-03-28 08:03:44.202,14697.99,14699.49
60,2022-03-28 05:03:45.824000,14695.22,14697.12,2022-03-28 08:03:46.853,14697.99,14699.49
61,2022-03-28 05:03:48.444000,14694.81,14696.71,2022-03-28 08:03:48.621,14697.74,14699.24
62,2022-03-28 05:03:52.003000,14694.81,14696.71,2022-03-28 08:03:52.973,14697.74,14699.24
63,2022-03-28 05:03:56.354000,14694.79,14696.69,2022-03-28 08:03:56.820,14697.49,14698.99
64,2022-03-28 05:03:57.934000,14694.12,14696.02,2022-03-28 08:03:57.958,14696.99,14698.49
65,2022-03-28 05:03:59.134000,14694.22,14696.12,2022-03-28 08:04:01.003,14696.74,14698.24
66,2022-03-28 05:04:02.901000,14695.35,14697.25,2022-03-28 08:04:03.157,14698.49,14699.99
67,2022-03-28 05:04:05.530000,14695.6,14697.5,2022-03-28 08:04:05.658,14697.74,14699.24
68,2022-03-28 05:04:06.837000,14694.85,14696.75,2022-03-28 08:04:06.858,14697.49,14698.99
69,2022-03-28 05:04:09.462000,14695.47,14697.37,2022-03-28 08:04:10.346,14698.49,14699.99
70,2022-03-28 05:04:12.045000,14696.22,14698.12,2022-03-28 08:04:12.983,14699.49,14700.99
71,2022-03-28 05:04:14.878000,14697.1,14699.0,2022-03-28 08:04:14.906,14699.74,14701.24
72,2022-03-28 05:04:16.031000,14697.47,14699.37,2022-03-28 08:04:17.101,14700.49,14701.99
73,2022-03-28 05:04:19.548000,14697.66,14699.56,2022-03-28 08:04:19.624,14700.49,14701.99
74,2022-03-28 05:04:21.024000,14697.97,14699.87,2022-03-28 08:04:21.969,14700.49,14701.99
75,2022-03-28 05:04:23.771000,14697.72,14699.62,2022-03-28 08:04:23.778,14700.49,14701.99
76,2022-03-28 05:04:26.045000,14697.81,14699.71,2022-03-28 08:04:26.071,14700.74,14702.24
77,2022-03-28 05:04:28.049000,14697.85,14699.75,2022-03-28 08:04:28.137,14700.74,14702.24
78,2022-03-28 05:04:29.972000,14698.31,14700.21,2022-03-28 08:04:30.099,14700.99,14702.49
79,2022-03-28 05:04:34.168000,14699.56,14701.46,2022-03-28 08:04:34.633,14702.74,14704.24
80,2022-03-28 05:04:34.635000,14699.97,14701.87,2022-03-28 08:04:34.690,14702.74,14704.24
81,2022-03-28 05:04:38.539000,14699.14,14701.04,2022-03-28 08:04:38.712,14701.99,14703.49
82,2022-03-28 05:04:40.520000,14698.41,14700.31,2022-03-28 08:04:40.616,14700.99,14702.49
83,2022-03-28 05:04:43.005000,14698.72,14700.62,2022-03-28 08:04:43.007,14701.24,14702.74
84,2022-03-28 05:04:45.498000,14698.6,14700.5,2022-03-28 08:04:45.530,14701.24,14702.74
85,2022-03-28 05:04:47.452000,14698.64,14700.54,2022-03-28 08:04:47.520,14701.24,14702.74
86,2022-03-28 05:04:49.292000,14698.43,14700.33,2022-03-28 08:04:50.165,14701.49,14702.99
87,2022-03-28 05:04:51.890000,14698.87,14700.77,2022-03-28 08:04:52.531,14701.74,14703.24
88,2022-03-28 05:04:54.473000,14699.22,14701.12,2022-03-28 08:04:54.502,14701.99,14703.49
89,2022-03-28 05:04:56.365000,14699.31,14701.21,2022-03-28 08:04:56.859,14701.74,14703.24
90,2022-03-28 05:04:58.097000,14699.06,14700.96,2022-03-28 08:04:58.925,14701.99,14703.49
91,2022-03-28 05:05:00.166000,14699.06,14700.96,2022-03-28 08:05:00.956,14701.74,14703.24
92,2022-03-28 05:05:02.652000,14698.77,14700.67,2022-03-28 08:05:02.988,14701.24,14702.74
93,2022-03-28 05:05:04.863000,14698.39,14700.29,2022-03-28 08:05:04.942,14700.99,14702.49
94,2022-03-28 05:05:06.249000,14697.97,14699.87,2022-03-28 08:05:07.371,14700.99,14702.49
95,2022-03-28 05:05:09.121000,14698.56,14700.46,2022-03-28 08:05:09.459,14701.49,14702.99
96,2022-03-28 05:05:11.546000,14699.07,14700.97,2022-03-28 08:05:11.796,14701.74,14703.24
97,2022-03-28 05:05:13.421000,14698.91,14700.81,2022-03-28 08:05:13.426,14701.99,14703.49
98,2022-03-28 05:05:15.466000,14699.6,14701.5,2022-03-28 08:05:15.538,14702.49,14703.99
99,2022-03-28 05:05:17.612000,14699.47,14701.37,2022-03-28 08:05:18.188,14701.99,14703.49
100,2022-03-28 05:05:19.998000,14699.06,14700.96,2022-03-28 08:05:20.027,14701.49,14702.99
101,2022-03-28 05:05:21.988000,14699.1,14701.0,2022-03-28 08:05:22.033,14701.99,14703.49
102,2022-03-28 05:05:23.830000,14699.67,14701.57,2022-03-28 08:05:23.842,14702.74,14704.24
103,2022-03-28 05:05:25.534000,14699.72,14701.62,2022-03-28 08:05:25.619,14702.74,14704.24
104,2022-03-28 05:05:28.444000,14699.72,14701.62,2022-03-28 08:05:28.821,14702.49,14703.99
105,2022-03-28 05:05:29.835000,14699.6,14701.5,2022-03-28 08:05:30.956,14702.49,14703.99
106,2022-03-28 05:05:32.832000,14699.6,14701.5,2022-03-28 08:05:32.914,14702.24,14703.74
107,2022-03-28 05:05:34.260000,14699.72,14701.62,2022-03-28 08:05:34.291,14702.74,14704.24
108,2022-03-28 05:05:36.963000,14699.47,14701.37,2022-03-28 08:05:36.992,14702.24,14703.74
109,2022-03-28 05:05:39.859000,14699.72,14701.62,2022-03-28 08:05:41.597,14702.49,14703.99
110,2022-03-28 05:05:43.041000,14699.6,14701.5,2022-03-28 08:05:43.064,14702.49,14703.99
111,2022-03-28 05:05:45.462000,14699.29,14701.19,2022-03-28 08:05:45.643,14702.49,14703.99
112,2022-03-28 05:05:47.340000,14699.66,14701.56,2022-03-28 08:05:47.385,14702.74,14704.24
113,2022-03-28 05:05:49.129000,14699.66,14701.56,2022-03-28 08:05:49.166,14702.49,14703.99
114,2022-03-28 05:05:51.133000,14699.72,14701.62,2022-03-28 08:05:51.649,14702.74,14704.24
115,2022-03-28 05:05:54.436000,14699.97,14701.87,2022-03-28 08:05:54.489,14702.74,14704.24
116,2022-03-28 05:05:56.301000,14700.22,14702.12,2022-03-28 08:05:56.366,14702.74,14704.24
117,2022-03-28 05:05:58.675000,14700.31,14702.21,2022-03-28 08:05:58.716,14703.49,14704.99
118,2022-03-28 05:06:01.022000,14700.56,14702.46,2022-03-28 08:06:01.503,14703.74,14705.24
119,2022-03-28 05:06:02.982000,14703.51,14705.41,2022-03-28 08:06:03.010,14706.74,14708.24
120,2022-03-28 05:06:05.520000,14703.85,14705.75,2022-03-28 08:06:05.623,14706.74,14708.24
121,2022-03-28 05:06:07.745000,14703.1,14705.0,2022-03-28 08:06:08.241,14706.49,14707.99
122,2022-03-28 05:06:10.042000,14703.64,14705.54,2022-03-28 08:06:10.128,14706.74,14708.24
123,2022-03-28 05:06:11.512000,14704.72,14706.62,2022-03-28 08:06:12.513,14707.24,14708.74
124,2022-03-28 05:06:14.487000,14704.6,14706.5,2022-03-28 08:06:14.766,14707.74,14709.24
125,2022-03-28 05:06:15.545000,14704.72,14706.62,2022-03-28 08:06:16.771,14707.74,14709.24
126,2022-03-28 05:06:17.248000,14704.72,14706.62,2022-03-28 08:06:18.675,14707.74,14709.24
127,2022-03-28 05:06:20.349000,14705.35,14707.25,2022-03-28 08:06:20.898,14708.24,14709.74
128,2022-03-28 05:06:22.732000,14705.31,14707.21,2022-03-28 08:06:23.096,14708.24,14709.74
129,2022-03-28 05:06:24.665000,14705.35,14707.25,2022-03-28 08:06:25.164,14708.24,14709.74
130,2022-03-28 05:06:27.043000,14705.08,14706.98,2022-03-28 08:06:27.073,14707.99,14709.49
131,2022-03-28 05:06:28.933000,14704.41,14706.31,2022-03-28 08:06:28.960,14707.49,14708.99
132,2022-03-28 05:06:31.470000,14703.97,14705.87,2022-03-28 08:06:31.850,14706.49,14707.99
133,2022-03-28 05:06:33.467000,14702.57,14704.78,2022-03-28 08:06:33.494,14705.74,14707.24
134,2022-03-28 05:06:35.534000,14703.06,14704.96,2022-03-28 08:06:35.919,14705.99,14707.49
135,2022-03-28 05:06:36.993000,14703.39,14705.29,2022-03-28 08:06:37.820,14705.99,14707.49
136,2022-03-28 05:06:39.473000,14703.35,14705.25,2022-03-28 08:06:39.505,14705.99,14707.49
137,2022-03-28 05:06:39.473000,14703.35,14705.25,2022-03-28 08:06:39.505,14705.99,14707.49
138,2022-03-28 05:06:44.036000,14703.85,14705.75,2022-03-28 08:06:44.145,14706.74,14708.24
139,2022-03-28 05:06:45.751000,14703.6,14705.5,2022-03-28 08:06:46.385,14706.74,14708.24
140,2022-03-28 05:06:47.896000,14703.66,14705.56,2022-03-28 08:06:48.344,14706.24,14707.74
141,2022-03-28 05:06:49.831000,14703.72,14705.62,2022-03-28 08:06:50.569,14706.74,14708.24
142,2022-03-28 05:06:52.399000,14703.56,14705.46,2022-03-28 08:06:52.701,14706.49,14707.99
143,2022-03-28 05:06:54.510000,14703.33,14705.23,2022-03-28 08:06:54.800,14706.24,14707.74
144,2022-03-28 05:06:55.230000,14703.47,14705.37,2022-03-28 08:06:56.634,14706.24,14707.74
145,2022-03-28 05:06:57.368000,14703.47,14705.37,2022-03-28 08:06:58.740,14706.24,14707.74
146,2022-03-28 05:07:01.029000,14703.35,14705.25,2022-03-28 08:07:01.051,14706.24,14707.74
147,2022-03-28 05:07:02.964000,14702.89,14704.79,2022-03-28 08:07:03.049,14705.49,14706.99
148,2022-03-28 05:07:04.974000,14702.85,14704.75,2022-03-28 08:07:05.436,14705.74,14707.24
149,2022-03-28 05:07:05.355000,14702.85,14704.75,2022-03-28 08:07:06.707,14705.74,14707.24
150,2022-03-28 05:07:09.961000,14702.72,14704.62,2022-03-28 08:07:10.178,14704.99,14706.49
151,2022-03-28 05:07:11.986000,14701.35,14703.25,2022-03-28 08:07:12.144,14704.24,14705.74
152,2022-03-28 05:07:14.331000,14700.72,14702.62,2022-03-28 08:07:14.403,14703.74,14705.24
153,2022-03-28 05:07:15.623000,14700.87,14702.77,2022-03-28 08:07:15.651,14703.74,14705.24
154,2022-03-28 05:07:15.623000,14700.87,14702.77,2022-03-28 08:07:15.651,14703.74,14705.24
155,2022-03-28 05:07:20.070000,14700.81,14702.71,2022-03-28 08:07:20.151,14703.74,14705.24
156,2022-03-28 05:07:22.470000,14700.85,14702.75,2022-03-28 08:07:22.501,14703.74,14705.24
157,2022-03-28 05:07:24.530000,14700.97,14702.87,2022-03-28 08:07:24.993,14703.49,14704.99
158,2022-03-28 05:07:26.230000,14700.85,14702.75,2022-03-28 08:07:27.121,14703.49,14704.99
159,2022-03-28 05:07:28.185000,14700.72,14702.62,2022-03-28 08:07:28.252,14703.49,14704.99
160,2022-03-28 05:07:30.371000,14700.22,14702.12,2022-03-28 08:07:31.075,14702.99,14704.49
161,2022-03-28 05:07:32.888000,14699.06,14700.96,2022-03-28 08:07:33.019,14701.49,14702.99
