,FXCM Time,FXCM Bid,FXCM Ask,FxPro Time,FxPro bidopen,FxPro askopen
0,2022-03-25 14:35:40.518000,14792.54,14793.84,2022-03-25 16:35:40.996,14793.97,14795.12
1,2022-03-25 14:35:43.631000,14792.43,14793.73,2022-03-25 16:35:44.934,14794.32,14795.47
2,2022-03-25 14:35:46.634000,14794.7,14796.0,2022-03-25 16:35:46.997,14796.57,14797.72
3,2022-03-25 14:35:54.676000,14790.33,14791.63,2022-03-25 16:35:55.346,14791.82,14792.97
4,2022-03-25 14:36:05.675000,14790.33,14791.63,2022-03-25 16:36:05.800,14791.67,14792.82
5,2022-03-25 14:36:12.172000,14790.48,14791.78,2022-03-25 16:36:12.558,14792.17,14793.32
6,2022-03-25 14:36:44.637000,14791.58,14792.88,2022-03-25 16:36:44.809,14793.07,14794.22
7,2022-03-25 14:36:52.176000,14793.95,14795.25,2022-03-25 16:36:52.593,14795.82,14796.97
8,2022-03-25 14:37:07.166000,14787.93,14789.23,2022-03-25 16:37:07.299,14789.57,14790.72
9,2022-03-25 14:37:13.546000,14789.73,14791.03,2022-03-25 16:37:14.141,14791.07,14792.22
10,2022-03-25 14:37:37.167000,14797.02,14798.32,2022-03-25 16:37:37.880,14799.07,14800.22
11,2022-03-25 14:37:49.141000,14796.39,14797.69,2022-03-25 16:37:49.598,14798.72,14799.87
12,2022-03-25 14:37:58.636000,14794.43,14795.73,2022-03-25 16:37:59.216,14795.82,14796.97
13,2022-03-25 14:38:00.631000,14796.2,14797.5,2022-03-25 16:38:01.366,14797.57,14798.72
14,2022-03-25 14:38:19.658000,14795.64,14796.94,2022-03-25 16:38:20.199,14797.32,14798.47
15,2022-03-25 14:38:21.654000,14798.45,14799.75,2022-03-25 16:38:22.571,14799.82,14800.97
16,2022-03-25 14:38:35.640000,14792.16,14793.46,2022-03-25 16:38:36.255,14793.82,14794.97
17,2022-03-25 14:39:09.171000,14784.83,14786.13,2022-03-25 16:39:10.198,14786.32,14787.47
18,2022-03-25 14:39:12.600000,14785.88,14787.18,2022-03-25 16:39:18.100,14790.32,14791.47
19,2022-03-25 14:39:47.177000,14781.91,14783.21,2022-03-25 16:39:47.827,14784.07,14785.22
20,2022-03-25 14:39:58.657000,14782.27,14783.57,2022-03-25 16:39:59.284,14783.92,14785.07
21,2022-03-25 14:40:01.672000,14782.33,14783.63,2022-03-25 16:40:02.118,14783.92,14785.07
