,FXCM Time,FXCM Bid,FXCM Ask,FxPro Time,FxPro bidopen,FxPro askopen
0,2022-03-28 18:40:37.968000,14872.61,14873.91,2022-03-28 21:40:38.053,14873.42,14874.57
1,2022-03-28 18:41:17.046000,14875.77,14877.07,2022-03-28 21:41:17.075,14876.57,14877.72
2,2022-03-28 18:41:57.470000,14871.9,14873.2,2022-03-28 21:41:57.814,14873.32,14874.47
3,2022-03-28 18:42:40.514000,14873.35,14874.65,2022-03-28 21:42:39.980,14874.17,14875.32
4,2022-03-28 18:44:01.549000,14879.17,14880.47,2022-03-28 21:44:01.336,14879.77,14880.92
5,2022-03-28 18:44:30.360000,14885.17,14886.47,2022-03-28 21:44:30.363,14885.92,14887.07
6,2022-03-28 18:44:35.507000,14900.42,14901.72,2022-03-28 21:44:35.330,14901.07,14902.22
7,2022-03-28 18:44:46.046000,14893.52,14894.82,2022-03-28 21:44:46.120,14894.42,14895.57
8,2022-03-28 18:44:54.518000,14888.19,14889.49,2022-03-28 21:44:54.443,14889.17,14890.32
9,2022-03-28 18:45:03.967000,14892.52,14893.82,2022-03-28 21:45:03.265,14891.42,14892.57
10,2022-03-28 18:45:42.537000,14889.06,14890.36,2022-03-28 21:45:42.306,14889.92,14891.07
11,2022-03-28 18:46:14.959000,14887.9,14889.2,2022-03-28 21:46:14.911,14888.42,14889.57
