,FXCM Time,FXCM Bid,FXCM Ask,FxPro Time,FxPro bidopen,FxPro askopen
0,2022-03-29 06:32:03.643000,15004.98,15006.88,2022-03-29 09:32:06.993,15008.09,15009.59
1,2022-03-29 06:32:13.204000,15006.41,15008.31,2022-03-29 09:32:19.638,15010.09,15011.59
2,2022-03-29 06:32:17.139000,15006.33,15008.23,2022-03-29 09:32:22.648,15010.84,15012.34
3,2022-03-29 06:32:17.139000,15006.33,15008.23,2022-03-29 09:32:25.595,15011.09,15012.59
4,2022-03-29 06:32:17.139000,15006.33,15008.23,2022-03-29 09:32:27.844,15011.09,15012.59
5,2022-03-29 06:32:17.139000,15006.33,15008.23,2022-03-29 09:32:30.325,15010.34,15011.84
6,2022-03-29 06:32:40.193000,15006.45,15008.35,2022-03-29 09:32:40.196,15008.59,15010.09
7,2022-03-29 06:32:46.773000,15006.83,15008.73,2022-03-29 09:32:46.818,15009.09,15010.59
8,2022-03-29 06:32:49.508000,15005.7,15007.6,2022-03-29 09:32:50.973,15007.84,15009.34
9,2022-03-29 06:32:53.093000,15005.68,15007.58,2022-03-29 09:32:54.438,15007.59,15009.09
10,2022-03-29 06:32:56.541000,15004.45,15006.35,2022-03-29 09:32:56.579,15006.59,15008.09
11,2022-03-29 06:33:00.586000,15004.88,15006.78,2022-03-29 09:33:00.610,15006.84,15008.34
12,2022-03-29 06:33:02.691000,15004.7,15006.6,2022-03-29 09:33:03.175,15006.84,15008.34
13,2022-03-29 06:33:06.542000,15003.83,15005.73,2022-03-29 09:33:06.656,15006.09,15007.59
14,2022-03-29 06:33:08.977000,15005.33,15007.23,2022-03-29 09:33:09.555,15007.59,15009.09
15,2022-03-29 06:33:10.772000,15006.33,15008.23,2022-03-29 09:33:12.157,15008.84,15010.34
16,2022-03-29 06:33:16.641000,15007.48,15009.38,2022-03-29 09:33:17.599,15009.84,15011.34
17,2022-03-29 06:33:20.824000,15008.2,15010.1,2022-03-29 09:33:22.644,15010.34,15011.84
18,2022-03-29 06:33:25.266000,15007.41,15009.31,2022-03-29 09:33:25.687,15009.59,15011.09
19,2022-03-29 06:33:30.230000,15006.2,15008.1,2022-03-29 09:33:31.179,15008.59,15010.09
20,2022-03-29 06:33:33.430000,15006.66,15008.56,2022-03-29 09:33:34.348,15009.34,15010.84
21,2022-03-29 06:33:33.430000,15006.66,15008.56,2022-03-29 09:33:34.348,15009.34,15010.84
22,2022-03-29 06:33:39.194000,15006.89,15008.79,2022-03-29 09:33:39.284,15009.34,15010.84
23,2022-03-29 06:33:44.029000,15007.49,15009.39,2022-03-29 09:33:45.188,15009.59,15011.09
24,2022-03-29 06:33:47.030000,15007.49,15009.39,2022-03-29 09:33:47.107,15009.84,15011.34
25,2022-03-29 06:33:51.539000,15007.58,15009.48,2022-03-29 09:33:51.569,15010.09,15011.59
26,2022-03-29 06:33:53.207000,15007.83,15009.73,2022-03-29 09:33:53.289,15010.09,15011.59
27,2022-03-29 06:33:53.207000,15007.83,15009.73,2022-03-29 09:33:55.392,15010.09,15011.59
28,2022-03-29 06:33:59.624000,15007.7,15009.6,2022-03-29 09:33:59.690,15010.09,15011.59
29,2022-03-29 06:34:02.473000,15007.89,15009.79,2022-03-29 09:34:02.947,15010.09,15011.59
30,2022-03-29 06:34:05.898000,15008.08,15009.98,2022-03-29 09:34:05.940,15010.34,15011.84
31,2022-03-29 06:34:08.769000,15008.11,15010.01,2022-03-29 09:34:09.660,15010.59,15012.09
32,2022-03-29 06:34:11.369000,15008.2,15010.1,2022-03-29 09:34:11.746,15010.34,15011.84
33,2022-03-29 06:34:14.497000,15008.4,15010.3,2022-03-29 09:34:14.565,15010.59,15012.09
34,2022-03-29 06:34:17.294000,15008.23,15010.13,2022-03-29 09:34:17.351,15010.59,15012.09
35,2022-03-29 06:34:19.965000,15008.4,15010.3,2022-03-29 09:34:19.991,15010.84,15012.34
36,2022-03-29 06:34:22.489000,15008.58,15010.48,2022-03-29 09:34:22.625,15011.09,15012.59
37,2022-03-29 06:34:24.867000,15008.14,15010.04,2022-03-29 09:34:24.941,15010.59,15012.09
38,2022-03-29 06:34:26.413000,15008.08,15009.98,2022-03-29 09:34:26.441,15010.34,15011.84
39,2022-03-29 06:34:29.746000,15007.58,15009.48,2022-03-29 09:34:29.828,15010.09,15011.59
40,2022-03-29 06:34:32.859000,15006.7,15008.6,2022-03-29 09:34:33.256,15009.09,15010.59
41,2022-03-29 06:34:34.908000,15006.74,15008.64,2022-03-29 09:34:35.701,15009.34,15010.84
42,2022-03-29 06:34:37.399000,15007.66,15009.56,2022-03-29 09:34:37.925,15010.09,15011.59
43,2022-03-29 06:34:43.840000,15008.33,15010.23,2022-03-29 09:34:44.304,15010.59,15012.09
44,2022-03-29 06:34:46.444000,15007.99,15009.89,2022-03-29 09:34:47.100,15010.59,15012.09
45,2022-03-29 06:34:47.817000,15008.08,15009.98,2022-03-29 09:34:48.926,15010.34,15011.84
46,2022-03-29 06:34:47.817000,15008.08,15009.98,2022-03-29 09:34:51.104,15010.34,15011.84
47,2022-03-29 06:34:53.021000,15007.45,15009.35,2022-03-29 09:34:53.627,15009.59,15011.09
48,2022-03-29 06:34:55.577000,15007.08,15008.98,2022-03-29 09:34:55.972,15009.09,15010.59
49,2022-03-29 06:34:58.043000,15007.14,15009.04,2022-03-29 09:34:58.070,15009.34,15010.84
50,2022-03-29 06:35:02.745000,15006.45,15008.35,2022-03-29 09:35:03.538,15008.84,15010.34
51,2022-03-29 06:35:08.136000,15006.7,15008.6,2022-03-29 09:35:08.221,15008.84,15010.34
52,2022-03-29 06:35:11.130000,15007.08,15008.98,2022-03-29 09:35:11.158,15009.34,15010.84
53,2022-03-29 06:35:12.295000,15007.2,15009.1,2022-03-29 09:35:12.371,15009.59,15011.09
54,2022-03-29 06:35:12.295000,15007.2,15009.1,2022-03-29 09:35:15.410,15009.59,15011.09
55,2022-03-29 06:35:17.198000,15007.99,15009.89,2022-03-29 09:35:17.211,15010.09,15011.59
56,2022-03-29 06:35:17.198000,15007.99,15009.89,2022-03-29 09:35:17.211,15010.09,15011.59
57,2022-03-29 06:35:22.001000,15007.91,15009.81,2022-03-29 09:35:22.045,15010.34,15011.84
58,2022-03-29 06:35:23.007000,15007.95,15009.85,2022-03-29 09:35:23.027,15010.09,15011.59
59,2022-03-29 06:35:26.112000,15007.91,15009.81,2022-03-29 09:35:26.463,15010.34,15011.84
60,2022-03-29 06:35:28.053000,15007.43,15009.33,2022-03-29 09:35:28.107,15009.59,15011.09
61,2022-03-29 06:35:28.053000,15007.43,15009.33,2022-03-29 09:35:30.904,15009.84,15011.34
62,2022-03-29 06:35:30.908000,15007.49,15009.39,2022-03-29 09:35:32.895,15009.59,15011.09
63,2022-03-29 06:35:37.811000,15006.66,15008.56,2022-03-29 09:35:37.929,15009.09,15010.59
64,2022-03-29 06:35:44.009000,15007.23,15009.13,2022-03-29 09:35:44.497,15009.59,15011.09
65,2022-03-29 06:35:45.006000,15006.83,15008.73,2022-03-29 09:35:46.628,15009.09,15010.59
66,2022-03-29 06:35:47.254000,15006.33,15008.23,2022-03-29 09:35:48.759,15008.59,15010.09
67,2022-03-29 06:35:50.639000,15006.49,15008.39,2022-03-29 09:35:50.943,15008.59,15010.09
68,2022-03-29 06:35:54.057000,15005.27,15007.17,2022-03-29 09:35:55.269,15007.84,15009.34
69,2022-03-29 06:35:56.152000,15005.33,15007.23,2022-03-29 09:35:56.781,15007.59,15009.09
70,2022-03-29 06:35:59.925000,15004.95,15006.85,2022-03-29 09:35:59.953,15007.09,15008.59
71,2022-03-29 06:36:01.560000,15004.83,15006.73,2022-03-29 09:36:02.462,15007.09,15008.59
72,2022-03-29 06:36:03.211000,15004.95,15006.85,2022-03-29 09:36:04.291,15007.09,15008.59
73,2022-03-29 06:36:06.049000,15005.04,15006.94,2022-03-29 09:36:06.778,15007.09,15008.59
74,2022-03-29 06:36:08.218000,15004.91,15006.81,2022-03-29 09:36:08.276,15007.34,15008.84
75,2022-03-29 06:36:10.868000,15005.7,15007.6,2022-03-29 09:36:11.276,15007.84,15009.34
76,2022-03-29 06:36:11.250000,15005.45,15007.35,2022-03-29 09:36:13.378,15008.34,15009.84
77,2022-03-29 06:36:15.209000,15005.95,15007.85,2022-03-29 09:36:15.330,15008.34,15009.84
78,2022-03-29 06:36:17.113000,15006.66,15008.56,2022-03-29 09:36:17.615,15009.09,15010.59
79,2022-03-29 06:36:19.653000,15006.66,15008.56,2022-03-29 09:36:19.742,15008.84,15010.34
80,2022-03-29 06:36:22.401000,15006.58,15008.48,2022-03-29 09:36:22.916,15008.59,15010.09
81,2022-03-29 06:36:24.956000,15007.2,15009.1,2022-03-29 09:36:25.373,15009.34,15010.84
82,2022-03-29 06:36:26.841000,15007.08,15008.98,2022-03-29 09:36:26.907,15009.59,15011.09
83,2022-03-29 06:36:28.739000,15007.08,15008.98,2022-03-29 09:36:30.366,15009.59,15011.09
84,2022-03-29 06:36:33.762000,15007.16,15009.06,2022-03-29 09:36:34.350,15009.34,15010.84
85,2022-03-29 06:36:35.077000,15007.16,15009.06,2022-03-29 09:36:36.459,15009.34,15010.84
86,2022-03-29 06:36:38.221000,15007.33,15009.23,2022-03-29 09:36:38.887,15009.59,15011.09
87,2022-03-29 06:36:40.801000,15007.14,15009.04,2022-03-29 09:36:40.881,15009.34,15010.84
88,2022-03-29 06:36:43.644000,15007.18,15009.08,2022-03-29 09:36:43.776,15009.34,15010.84
89,2022-03-29 06:36:45.090000,15007.08,15008.98,2022-03-29 09:36:45.942,15009.59,15011.09
90,2022-03-29 06:36:47.647000,15007.53,15009.43,2022-03-29 09:36:47.712,15009.84,15011.34
91,2022-03-29 06:36:50.685000,15007.45,15009.35,2022-03-29 09:36:51.501,15009.59,15011.09
92,2022-03-29 06:36:53.031000,15007.51,15009.41,2022-03-29 09:36:53.763,15009.59,15011.09
93,2022-03-29 06:36:56.146000,15007.27,15009.17,2022-03-29 09:36:56.410,15009.59,15011.09
94,2022-03-29 06:36:58.319000,15007.2,15009.1,2022-03-29 09:36:58.651,15009.59,15011.09
95,2022-03-29 06:37:00.475000,15007.33,15009.23,2022-03-29 09:37:01.048,15009.34,15010.84
96,2022-03-29 06:37:03.020000,15006.7,15008.6,2022-03-29 09:37:03.542,15009.09,15010.59
97,2022-03-29 06:37:05.814000,15006.78,15008.68,2022-03-29 09:37:06.614,15009.09,15010.59
98,2022-03-29 06:37:08.310000,15006.83,15008.73,2022-03-29 09:37:08.362,15009.59,15011.09
99,2022-03-29 06:37:12.552000,15008.2,15010.1,2022-03-29 09:37:13.001,15010.59,15012.09
100,2022-03-29 06:37:14.349000,15008.18,15010.08,2022-03-29 09:37:15.058,15010.59,15012.09
101,2022-03-29 06:37:16.850000,15008.39,15010.29,2022-03-29 09:37:16.920,15010.59,15012.09
102,2022-03-29 06:37:20,15008.27,15010.17,2022-03-29 09:37:20.082,15010.59,15012.09
103,2022-03-29 06:37:25.054000,15008.7,15010.6,2022-03-29 09:37:25.900,15011.09,15012.59
104,2022-03-29 06:37:25.832000,15008.83,15010.73,2022-03-29 09:37:28.422,15011.34,15012.84
105,2022-03-29 06:37:30.303000,15008.98,15010.88,2022-03-29 09:37:30.671,15011.59,15013.09
